B10K-DU-002-25	Sitta_europaea	VXBS00000000
B10K-DU-002-26	Rhadina_sibilatrix	VWYO00000000
B10K-DU-002-28	Larus_smithsonianus	WAAC00000000
B10K-DU-002-30	Cisticola_juncidis	VXBR00000000
B10K-DU-002-32	Phainopepla_nitens	VXBQ00000000
B10K-DU-002-35	Rhinopomastus_cyanomelas	VXBP00000000
B10K-DU-002-36	Rhinoptilus_africanus	VXBO00000000
B10K-DU-002-37	Tricholaema_leucomelas	WAAF00000000
B10K-DU-002-40	Nicator_chloris	WAAE00000000
B10K-DU-002-42	Pycnonotus_jocosus	VWYP00000000
B10K-DU-002-43	Leiothrix_lutea	VXBY00000000
B10K-DU-002-46	Scytalopus_superciliaris	VXBX00000000
B10K-DU-002-47	Thinocorus_orbignyianus	VXBW00000000
B10K-DU-002-48	Fregata_magnificens	WAAD00000000
B10K-DU-002-49	Sula_dactylatra	WEKW00000000
B10K-DU-002-50	Vidua_macroura	WBNN00000000
B10K-DU-002-51	Eurystomus_gularis	VZZY00000000
B10K-DU-002-52	Peucedramus_taeniatus	WBNO00000000
B10K-DU-002-53	Pitta_sordida	WEKX00000000
B10K-DU-002-55	Calyptomena_viridis	WEIV00000000
B10K-DU-002-56	Dryoscopus_gambensis	WEIT00000000
B10K-DU-002-57	Chloropsis_cyanopogon	WEZZ00000000
B10K-DU-002-58	Erpornis_zantholeuca	VZTN00000000
B10K-DU-002-59	Jacana_jacana	VZTM00000000
B10K-DU-002-60	Erythrocercus_mccallii	VZRG00000000
B10K-DU-002-69	Todus_mexicanus	WEIS00000000
B10K-DU-002-70	Scopus_umbretta	VZTL00000000
B10K-DU-002-71	Pomatostomus_ruficeps	VYZT00000000
B10K-DU-002-79	Neodrepanis_coruscans	VYZS00000000
B10K-DU-002-81	Oxylabes_madagascariensis	VYZR00000000
B10K-DU-002-82	Mystacornis_crossleyi	VYZQ00000000
B10K-DU-002-83	Hypocryptadius_cinnamomeus	VYZP00000000
B10K-DU-003-06	Furnarius_figulus	VYZD00000000
B10K-DU-003-16	Mionectes_macconnelli	VYZC00000000
B10K-DU-003-42	Syrrhaptes_paradoxus	VZTO00000000
B10K-DU-003-44	Crotophaga_sulcirostris	VYZB00000000
B10K-DU-004-15	Neopipo_cinnamomea	VYZA00000000
B10K-DU-005-01	Nyctiprogne_leucopyga	VZZU00000000
B10K-DU-005-73	Arenaria_interpres	VXAK00000000
B10K-DU-005-78	Herpetotheres_cachinnans	VXAJ00000000
B10K-DU-006-06	Alopecoenas_beccarii	VWYH00000000
B10K-DU-006-09	Fregetta_grallaria	VZZT00000000
B10K-DU-006-20	Rostratula_benghalensis	VXAI00000000
B10K-DU-007-02	Piprites_chloris	VXAH00000000
B10K-DU-007-40	Trogon_melanurus	VXAG00000000
B10K-DU-007-42	Spizaetus_tyrannus	VXAF00000000
B10K-DU-008-47	Piaya_cayana	WAAB00000000
B10K-DU-008-62	Chordeiles_acutipennis	VXAQ00000000
B10K-DU-008-63	Glaucidium_brasilianum	VXAP00000000
B10K-DU-009-04	Podilymbus_podiceps	VXAO00000000
B10K-DU-009-16	Phaetusa_simplex	VZZW00000000
B10K-DU-009-59	Sylvietta_virens	VXAN00000000
B10K-DU-010-60	Circaetus_pectoralis	VZZV00000000
